user_id,al farissi,ali ibrahim,alvi syahrini utami,anggina primanita,annisa darmawahyuni,danny matthew saputra,deris stiawan,desty rodiah,dian palupi rini,julian supardi,junia kurniati,kanda januar miraswan,mastura diana marieska,muhammad naufal rachmatullah,novi yusliani,rifkie primartha,rizki kurniati
mhs_133,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
mhs_134,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
mhs_135,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
mhs_136,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
mhs_137,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
mhs_138,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
mhs_139,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
mhs_14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
mhs_140,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
mhs_141,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
mhs_142,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
mhs_143,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
mhs_144,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
mhs_145,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
mhs_146,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
mhs_147,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
mhs_148,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
mhs_149,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
mhs_15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
mhs_150,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
mhs_151,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
mhs_152,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
mhs_153,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
mhs_154,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
mhs_155,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
mhs_156,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
mhs_157,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
mhs_158,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
mhs_159,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
mhs_16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
mhs_160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
mhs_161,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
mhs_162,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
mhs_163,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
mhs_164,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
mhs_165,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
mhs_166,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
mhs_167,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
mhs_168,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
mhs_169,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
mhs_17,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
mhs_170,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
