title,abstract,keywords,Dosen
spam email berbahasa indonesia fasttext bernoulli naãve,indonesia ranks sixth globally terms number spam senders numerous studies conducted spam detection filtering bayesian among commonly approaches classify indonesianlanguage email messages spam nonspam categories secondary consisting 2604 messages comprising 1362 spam messages 1242 nonspam messages word representation performed fasttext ngram approach capture subword bernoulli naãve binary experiments compared bernoulli naãve without fasttext evaluation conducted confusion matrix report metrics 7030 split showed models without fasttext achieved 95 however incorporating fasttext demonstrated balanced across classes higher recall detecting spam contrast without fasttext achieved perfect precision recall spam showed decreased nonspam therefore fasttext contributes improving sensitivity balance spam email indonesian language,bahasa indonesia bernoulli naãve fasttext email spam teks,rizki kurniati muhammad naufal rachmatullah
perbandingan performa c45 random forest deteksi penyakit diabetes,diabetes chronic disease continuously increasing global prevalence early detection poses major challenge symptoms often appear condition already severe diabetes plays crucial role recognizing disease early allow faster accurate interventions according world health organization 2020 past three decades prevalence diabetes significantly increased various countries conducted compare two c45 random forest classifying diabetes disease patientsâ health records includes design stage software implementation evaluation processed health records even though quality considered less ideal test show random forest achieved highest 8961 c45 reached 8863 addition random forest also demonstrated higher precision compared c45 due random forest ensemble approach employs many trees resulting accurate predictions,diabetes c45 random forest mining random sampling minmax scaling,alvi syahrini utami
sapi ternak normal terinfeksi lumpy skin disease convolutional neural network cnn,lumpy skin disease lsd contagious disease cattle causes significant losses livestock sector making early detection crucial classify cattle normal lsdinfected categories convolutional neural network cnn resnet50 architecture consists 4000 images divided 80 10 validation 10 trained recognize visual features infected cattle demonstrated excellent achieving average 9675 precision 9678 recall 9675 f1score 9676 indicate resnet50 cnn architecture effective detecting lumpy skin disease cattle potential implemented automated diagnostic tool livestock industry,lumpy skin disease citra cnn resnet50 deteksi penyakit ternak,kanda januar miraswan
greedy game fifa 23 pemilihan taktik susunan pemain efektif coach career mode,explores implementation greedy fifa 23 particularly within coach career mode determine effective tactics player formations greedy chosen ability make fast locally optimal decisions without considering long term consequences developed evaluates various tactical formation combinations selects players attributes overall rating potential form simulations conducted manchester united several seasons assess effectiveness indicate successfully constructs strategies significantly enhance team across competitions including premier league fa cup carabao cup uefa europa league short processing time interactive interface make efficient feasible practical gameplay scenarios demonstrates greedy offers practical solution tactical decisionmaking football simulation games,greedy fifa 23 coach career strategi permainan pemilihan pemain,abdiansah abdiansah anggina primanita
pembuatan addon blender konversi gambar 3 dimensi voxel,mengembangkan addon blender bernama voxelize otomatis mengonversi gambar 2d 3d voxel multimedia development life cycle mdlc meliputi tahap concept design material collecting assembly addon membaca piksel gambar membentuk mask objek thresholding menghasilkan representasi voxel dikonversi mesh 3d membandingkan addon addon sejenis love2d3d gambar berbeda konversi addon voxelize 3d dihasilkan memiliki detail kemiripan bentuk gambar aslinya kontribusi alat bantu otomatis mempercepat mempermudah pembuatan 3d 2d dimanfaatkan desainer animator pemula 3d modeling,blender addon voxel 2d 3d modeling otomatis,anggina primanita
polycystic ovary syndrome pcos citra ultrasonografi convolutional neural network cnn,polycystic ovary syndrome pcos common endocrine disorder affecting women reproductive age leading cause infertility early detection crucial prevent longterm complications ovarian ultrasonography images emerged effective noninvasive tool supporting pcos diagnosis compare optimize convolutional neural network cnn models classifying ovarian ultrasonography images pcos three cnn architectures densenet201 vgg19 inceptionv3 tested various configurations involving two types optimizers adam sgd four rate 001 0001 00001 000001 demonstrate optimal configuration inceptionv3 architecture adam optimizer rate 0001 achieving highest f1score 9978 adam optimizer proved superior sgd precise determination rate crucial achieving peak findings indicate architecture optimizer rate key factors determining success pcos ultrasonography images,polycystic ovary syndrome pcos convolutional neural network cnn densenet201 vgg19 inceptionv3,dian palupi rini m qurhanul rizqie
peningkatan kualitas citra retinex deteksi wajah citra gelap,facial images captured lowlight conditions often suffer visual degradation including low contrast inadequate brightness loss important details negatively impact face detection enhance quality lowlight images retinex preprocessing step evaluate effect yolov5 face detection total 6000 lowlight facial images experiment image enhancement assessed brightness contrast entropy peak signaltonoise ratio psnr mean squared error mse structural similarity index measure ssim retinex successfully improved average brightness 10457 contrast 2150 entropy 391715 reduced mse 898514 however average psnr ssim valuesâ874 db 01359 respectivelyâindicate distortion remained several images enhanced images train test yolov5 achieving best batch size 32 100 epochs confidence score 093,peningkatan kualitas retinex yolov5 citra wajah gelap,muhammad fachrurrozi muhammad naufal rachmatullah
arah pergerakan indeks harga saham gabungan bursa efek indonesia support vector,indonesian stock market strategic investment instrument high volatility requires accurate minimize investor losses increase profits technical fundamental limitations reliance historical lack consideration external factors technological advancements support vector become option improve therefore movement direction composite stock price index ihsg indonesia stock exchange developed chosen overcome limitations aforementioned technical fundamental order produce optimal predictions tests best parameter combination three parameters c î³ number iterations produce best experiment best parameter combination c 01 î³ 1 number iterations 200 resulting 9179 show effective tool predicting movement direction ihsg,ilmu komputer teknik informatika,alvi syahrini utami
sampah convolutional neural network cnn,effective waste management major challenge maintaining environmental cleanliness sustainability one important step waste separation distinguishing organic inorganic waste organic waste food scraps dry leaves processed compost environmentally friendly energy meanwhile inorganic waste plastic glass metal recycled new products proper waste separation allows efficient waste processing positive impact environment proposes automated waste digital images deep technology convolutional neural network cnn architecture three cnn models vgg16 resnet50 xception consists two main classes organic inorganic waste conducted 12 scenarios variations rate batch size evaluation metrics include precision recall f1score best achieved vgg16 rate 1e4 batch size 64 reaching 9434 9058 precision 9505 recall 9276 f1score,waste deep cnn vgg16 resnet50 xception,dian palupi rini kanda januar miraswan
penerapan time series lee dioptimasi particle swarm optimization tukar rupiah,currency exchange rate fluctuations significant impact countrys economic stability affecting prices interest rates production competitiveness factors global inflation interest rates international political conditions increase uncertainty therefore accurate exchange rate needed aid decisionmaking one time series lee fts lee ability handle linguistic uncertainty still limitations parameter address particle swarm optimization pso optimize fts lee parameters better align characteristics predicts exchange rate rupiah three currencies usd gbp jpy show significant improvement optimization usd mape decreased 03256 01520 gbp 02888 01390 jpy 03174 01023 optimal configuration differs currency demonstrating flexibility pso adjusting parameters combination fts lee pso proven capable improving well providing practical contributions fields economics finance particularly anticipating exchange rate fluctuations,tukar time series lee particle swarm optimization,dian palupi rini
